customer_id,product_id,star_rating,verified_purchase
5854,1615,0.0,0
1719,4195,0.0,0
5245,1739,4.0,1
751,2743,0.0,0
1110,828,0.0,0
2545,2968,0.0,0
3670,2680,5.0,0
210,809,0.0,0
5936,1280,5.0,0
300,1475,0.0,0
5554,2427,2.0,1
5583,5452,0.0,0
2664,5259,0.0,0
2772,1858,0.0,0
5208,5169,0.0,0
5934,2361,0.0,0
3059,2756,5.0,1
3170,1210,0.0,0
94,4933,0.0,0
3893,829,0.0,0
3268,2231,0.0,0
3964,3358,0.0,0
7097,2118,0.0,0
4159,2973,0.0,0
7566,636,0.0,0
6750,4285,0.0,0
985,3475,0.0,0
6055,5051,0.0,0
2149,5698,0.0,0
5957,5199,0.0,0
2925,79,0.0,0
5511,3082,0.0,0
6092,4622,0.0,0
7760,2131,0.0,0
3921,23,0.0,0
3970,2773,0.0,0
1632,3371,0.0,0
2017,4883,2.0,1
427,5285,0.0,0
7718,439,0.0,0
3120,747,5.0,0
4259,3504,0.0,0
5499,5711,0.0,0
2353,2137,0.0,0
1415,2253,0.0,0
3814,4595,0.0,0
839,4871,0.0,0
2063,5827,5.0,1
775,5922,0.0,0
7621,5269,0.0,0
4302,2136,0.0,0
4919,2907,0.0,0
5368,1937,4.0,1
1077,5763,0.0,0
3880,2173,0.0,0
5276,2284,0.0,0
1267,645,0.0,0
4131,5788,0.0,0
2453,4342,0.0,0
7856,4277,1.0,0
1834,4628,0.0,0
5177,2081,0.0,0
4826,1659,5.0,0
7666,1136,0.0,0
4078,2200,0.0,0
2812,5902,0.0,0
3954,541,0.0,0
7579,2028,5.0,1
7224,5492,0.0,0
7634,4380,0.0,0
6556,960,0.0,0
25,3886,0.0,0
7024,4679,0.0,0
4082,2860,0.0,0
6747,2967,5.0,0
5347,4147,0.0,0
4108,1953,0.0,0
4120,5661,0.0,0
1774,4522,4.0,0
4452,4146,0.0,0
2770,2101,0.0,0
792,1627,0.0,0
1747,3179,0.0,0
4923,2481,0.0,0
7066,736,0.0,0
2123,4191,0.0,0
4433,5082,0.0,0
275,3108,0.0,0
2920,3085,0.0,0
5490,5101,0.0,0
2839,570,0.0,0
5070,2337,0.0,0
1980,149,0.0,0
6437,4965,0.0,0
5437,4480,0.0,0
2293,3733,0.0,0
1097,3875,0.0,0
3031,1576,0.0,0
7595,2459,0.0,0
6683,2343,0.0,0
4144,1227,3.0,1
5406,5470,0.0,0
6719,5310,0.0,0
7517,3049,3.0,0
1426,2926,0.0,0
1731,3627,2.0,1
5820,2029,0.0,0
6720,2794,5.0,0
1033,3115,0.0,0
2849,2586,0.0,0
567,1178,0.0,0
5111,3212,0.0,0
6069,1285,0.0,0
7045,120,5.0,1
5718,4803,5.0,1
2957,4970,0.0,0
7149,4923,0.0,0
6547,565,5.0,0
1164,3063,0.0,0
197,2221,0.0,0
409,5642,4.0,0
6928,5751,5.0,0
5692,1002,0.0,0
256,1217,5.0,0
3549,5029,1.0,1
6444,2446,0.0,0
5028,3415,0.0,0
5669,704,0.0,0
2342,2102,0.0,0
2020,1829,0.0,0
2425,687,0.0,0
5406,2709,4.0,1
3478,4989,0.0,0
470,5945,0.0,0
1531,880,0.0,0
1144,4873,0.0,0
6489,670,0.0,0
3466,687,0.0,0
7932,3038,0.0,0
3483,4822,0.0,0
7250,3607,4.0,0
5605,3943,0.0,0
5762,4195,0.0,0
2485,2210,0.0,0
5981,2694,0.0,0
6899,17,0.0,0
7439,3978,5.0,1
369,471,0.0,0
2040,5754,0.0,0
3965,4726,1.0,0
4035,1511,0.0,0
2646,4289,0.0,0
545,5029,0.0,0
3304,5094,0.0,0
5458,1001,5.0,0
954,470,0.0,0
7494,4898,5.0,0
284,1406,3.0,1
7015,3700,0.0,0
3986,2891,0.0,0
225,1776,0.0,0
3702,1964,0.0,0
5916,2751,0.0,0
2449,4659,0.0,0
3305,3909,0.0,0
5668,2170,5.0,0
5590,4651,0.0,0
5865,135,0.0,0
217,1906,0.0,0
5630,4237,5.0,1
3046,50,0.0,0
787,2844,0.0,0
1806,4456,0.0,0
2358,3315,0.0,0
7630,3656,0.0,0
2739,5641,1.0,0
4232,1949,0.0,0
1521,4750,0.0,0
6277,3953,0.0,0
313,3795,0.0,0
195,164,0.0,0
2706,5427,0.0,0
6300,90,5.0,0
4338,4099,0.0,0
2698,5088,0.0,0
7037,2521,0.0,0
1355,5612,5.0,0
693,3753,5.0,1
5390,4993,0.0,0
4480,1663,0.0,0
5554,256,0.0,0
1899,489,0.0,0
5409,5170,4.0,1
3428,1672,0.0,0
5729,3911,0.0,0
539,1532,0.0,0
4274,2250,5.0,1
2344,5104,0.0,0
5700,674,0.0,0
3265,2524,5.0,0
7526,858,0.0,0
6130,4619,0.0,0
2107,1692,0.0,0
6480,2173,0.0,0
7479,5639,1.0,0
2369,2135,0.0,0
1994,1599,0.0,0
4988,5945,1.0,1
2778,4456,0.0,0
4906,557,5.0,0
1281,567,0.0,0
154,4756,5.0,0
6146,5459,3.0,1
7315,5422,0.0,0
80,3944,0.0,0
888,2395,3.0,0
6827,5299,0.0,0
1279,5945,4.0,1
7896,51,0.0,0
3202,5250,0.0,0
3623,2690,0.0,0
3193,5654,0.0,0
6943,3185,0.0,0
7358,5859,0.0,0
1501,1640,0.0,0
2016,5640,0.0,0
1417,4833,0.0,0
1300,5812,0.0,0
4841,4429,0.0,0
56,5618,0.0,0
778,1621,0.0,0
4994,356,0.0,0
5861,4429,0.0,0
6904,2240,0.0,0
7334,2604,0.0,0
1409,3809,0.0,0
3905,2228,0.0,0
1238,2925,0.0,0
1778,2617,5.0,1
4522,3372,0.0,0
4572,3840,2.0,1
7948,3228,0.0,0
2456,1849,0.0,0
6671,606,0.0,0
1818,4291,0.0,0
1362,1408,0.0,0
5995,4298,0.0,0
230,4388,0.0,0
752,4944,0.0,0
4934,4527,0.0,0
2407,2597,0.0,0
2379,4578,0.0,0
5617,1292,0.0,0
1252,3701,0.0,0
3527,4993,0.0,0
4295,94,5.0,1
5076,1018,0.0,0
3791,5707,0.0,0
6434,1765,3.0,0
6987,1372,0.0,0
6819,1293,0.0,0
3527,5427,0.0,0
6609,2968,0.0,0
3762,5721,0.0,0
6333,2560,0.0,0
1421,1692,1.0,0
2595,3184,0.0,0
4685,1513,0.0,0
5090,1070,0.0,0
4475,5642,0.0,0
5355,1342,0.0,0
503,2717,0.0,0
6792,4404,0.0,0
6556,4402,5.0,0
4882,2893,0.0,0
7485,2343,0.0,0
6908,3706,0.0,0
1299,3440,1.0,1
1881,2113,0.0,0
5673,5933,0.0,0
3091,1347,1.0,0
7953,4804,0.0,0
62,5655,5.0,1
2656,3522,0.0,0
4564,5812,0.0,0
7382,5282,0.0,0
353,5326,0.0,0
7271,4066,5.0,1
7494,506,0.0,0
4516,1211,0.0,0
5112,81,0.0,0
529,3986,0.0,0
1170,888,0.0,0
7173,2581,0.0,0
2155,3617,4.0,1
3612,1909,5.0,0
1284,1958,0.0,0
6204,3103,0.0,0
5058,4889,0.0,0
3757,1859,0.0,0
2392,4256,0.0,0
3546,5498,0.0,0
124,5232,5.0,1
67,3154,0.0,0
760,5276,5.0,1
188,860,0.0,0
4642,5589,0.0,0
15,667,0.0,0
6449,2683,0.0,0
4314,3732,5.0,0
6182,5006,0.0,0
3572,2905,0.0,0
2152,841,0.0,0
3826,1229,0.0,0
6015,2592,0.0,0
3360,938,0.0,0
5337,5599,0.0,0
6397,1066,0.0,0
5271,4154,2.0,1
1873,5175,0.0,0
2031,5851,0.0,0
3666,4889,0.0,0
7418,2217,0.0,0
2015,2068,5.0,1
1746,2686,0.0,0
5928,5649,0.0,0
3017,5179,0.0,0
2736,3109,0.0,0
2266,1266,5.0,0
4418,3683,0.0,0
6979,3313,0.0,0
5035,1966,0.0,0
6046,3248,0.0,0
4250,3382,0.0,0
540,2120,0.0,0
2112,391,0.0,0
1695,2378,0.0,0
4075,382,0.0,0
4550,4978,0.0,0
3633,1403,0.0,0
6351,3626,5.0,1
3569,2916,0.0,0
1784,3899,0.0,0
5966,1492,0.0,0
3518,5562,0.0,0
1029,875,0.0,0
926,1300,0.0,0
6929,5367,0.0,0
1834,2809,0.0,0
1866,546,0.0,0
